,2020_winter,2020_spring,2020_summer,2020_autumn,2021_winter,2021_spring,2021_summer,2021_autumn,2022_winter,2022_spring,2022_summer,2022_autumn,2023_winter,2023_spring,2023_summer,2023_autumn
btm_obs,20.90017637058759,23.78674904036345,35.33337152685453,27.76328413745522,21.81325432835957,26.43918200402982,34.55898344767105,28.22763540515132,20.69754972318619,23.42557083539899,35.51731231830333,27.39708588367158,22.28828416464718,25.59285059238177,35.04734513123348,34.89365494018379
btm_forecast,21.10987217402199,24.32472959446739,36.06501727469777,28.21907793591933,22.27438205410891,27.02914808194647,34.9019406693921,28.63314869877854,21.35478171633999,24.48258512708022,35.80021117946227,27.81063397425284,23.23319133619286,26.41252485275229,35.83104459216636,35.26852388662089
btm_simulate,21.44634342851136,24.37768216977292,36.8769220266107,28.2247077057967,23.14153585219512,26.94568221624607,33.47199056742262,28.02316408414412,21.0150597874969,25.11528387176064,34.249380665545,27.43971162768263,23.42769027300394,27.05028801358313,35.30838011035622,34.82477626861062
btm_std,4.395311574418349,5.561413642495149,4.42308248587741,5.711988934164907,4.395311574418349,5.561413642495149,4.42308248587741,5.711988934164907,4.395311574418349,5.561413642495149,4.42308248587741,5.711988934164907,4.395311574418349,5.561413642495149,4.42308248587741,5.711988934164907
btm_mae,1.939154322054847,1.939978407952349,2.086037690902743,1.681471604573142,1.939154322054847,1.939978407952349,2.086037690902743,1.681471604573142,1.939154322054847,1.939978407952349,2.086037690902743,1.681471604573142,1.939154322054847,1.939978407952349,2.086037690902743,1.681471604573142
btm_simulate_mae,2.778230229114402,2.900941735219412,3.700059347650257,2.734858611351513,2.778230229114402,2.900941735219412,3.700059347650257,2.734858611351513,2.778230229114402,2.900941735219412,3.700059347650257,2.734858611351513,2.778230229114402,2.900941735219412,3.700059347650257,2.734858611351513
mid_obs,21.4153592393951,23.84599474935112,34.49221074190417,27.70461517755558,22.34491247166305,26.38072812546919,33.01553201844346,27.75085456118242,20.65242573987787,23.42636449266066,34.12877559705363,26.69815165502555,22.50534659946271,25.95510639779246,34.46378478578116,33.51025832381058
mid_forecast,21.46894517127636,24.49786851587388,35.35692385320447,28.05453259114013,22.33876233593977,26.96201308554285,34.132642903562,28.32387261241587,20.64718200847446,23.83160194305568,34.96188054907597,27.0315003979613,22.54666704055528,26.07172239459975,35.77140755106237,35.15997797694387
mid_simulate,21.78208012634475,24.49589328838482,36.29895300953084,28.0776065337497,23.29096765900028,27.0055941763949,34.58215813192766,28.06097117796868,20.5630811651903,24.28249930043084,34.95688676162565,27.1835387575231,22.53890032476038,26.25606551869072,36.04509908151396,36.2730339326761
mid_std,4.642888193802055,6.038716539255692,5.045336812153956,5.908337411939773,4.642888193802055,6.038716539255692,5.045336812153956,5.908337411939773,4.642888193802055,6.038716539255692,5.045336812153956,5.908337411939773,4.642888193802055,6.038716539255692,5.045336812153956,5.908337411939773
mid_mae,1.843609498260211,2.043848492794245,2.494565914743657,1.779144377612837,1.843609498260211,2.043848492794245,2.494565914743657,1.779144377612837,1.843609498260211,2.043848492794245,2.494565914743657,1.779144377612837,1.843609498260211,2.043848492794245,2.494565914743657,1.779144377612837
mid_simulate_mae,2.601360226008573,2.864789150082868,3.809087087509818,2.632667022923111,2.601360226008573,2.864789150082868,3.809087087509818,2.632667022923111,2.601360226008573,2.864789150082868,3.809087087509818,2.632667022923111,2.601360226008573,2.864789150082868,3.809087087509818,2.632667022923111
top_obs,21.70735349715918,22.88145484797982,29.84067968312731,26.0238119158711,22.26078972586006,25.04358003541136,28.73820675585914,25.6873513663658,21.03432119559278,22.7414039313844,30.02417335433912,25.70708974461001,22.97500789930717,24.53644136903867,29.47240650091762,28.68124750366197
top_forecast,21.88528187826931,23.8123416865176,31.21892370010517,26.60127250944413,22.45279526627662,25.99020582641298,30.91708658051329,26.63145261236772,21.15534899124971,23.33874932845246,31.65032039325888,26.20336773685232,22.98702727668206,24.83834200649539,31.94672690117313,31.26243456975361
top_simulate,21.81591278417909,23.35737725532179,32.39266615768669,26.2826701238354,23.42909284938464,26.11151021467409,32.83978035361201,26.62379367505034,20.69098345597095,23.15933601324061,32.77056112607882,25.62201063936544,22.40143703285324,25.07258783562398,34.09467496107051,34.15684140414858
top_std,4.6289976482421,5.740842456175818,5.446839494107546,5.478636117394002,4.6289976482421,5.740842456175818,5.446839494107546,5.478636117394002,4.6289976482421,5.740842456175818,5.446839494107546,5.478636117394002,4.6289976482421,5.740842456175818,5.446839494107546,5.478636117394002
top_mae,2.234515039540282,2.582858906320534,3.546021842828197,2.571175510204681,2.234515039540282,2.582858906320534,3.546021842828197,2.571175510204681,2.234515039540282,2.582858906320534,3.546021842828197,2.571175510204681,2.234515039540282,2.582858906320534,3.546021842828197,2.571175510204681
top_simulate_mae,3.287009986071481,3.705853499920063,6.355616830978753,3.972684187330974,3.287009986071481,3.705853499920063,6.355616830978753,3.972684187330974,3.287009986071481,3.705853499920063,6.355616830978753,3.972684187330974,3.287009986071481,3.705853499920063,6.355616830978753,3.972684187330974
