,2020_winter,2020_spring,2020_summer,2020_autumn,2021_winter,2021_spring,2021_summer,2021_autumn,2022_winter,2022_spring,2022_summer,2022_autumn,2023_winter,2023_spring,2023_summer,2023_autumn
btm_obs,18.43471268329948,22.99825174825175,29.42708128831636,25.70233779283656,17.19929653679654,24.39834457665372,28.80301921655581,25.63904837852207,17.54187113717582,22.41004536810163,29.51464923988204,25.67734413478734,18.07089615882003,24.14341794569067,28.98148959474261,28.58617424242425
btm_forecast,18.59046948511162,22.97414695077287,29.50464815157463,25.83402554177897,17.51650629105506,24.65466696565801,28.73555979126044,25.57655271845001,18.18165560103645,22.9968356838474,29.36805191907016,25.80415598865554,18.30882086048364,24.06667505118473,29.03362237192845,28.62839709628712
btm_simulate,18.52217294900221,23.12004662004662,29.71062415830009,25.88151174668029,17.41396103896104,24.76590909090909,28.25055432372505,25.55861244019139,18.84607438016529,23.74525474525475,28.88977272727273,25.87944664031621,18.18538324420677,24.20971074380165,29.20372398685652,28.61363636363636
btm_std,2.78179659365924,4.071954548255868,2.28994131874571,3.433685333895887,2.78179659365924,4.071954548255868,2.28994131874571,3.433685333895887,2.78179659365924,4.071954548255868,2.28994131874571,3.433685333895887,2.78179659365924,4.071954548255868,2.28994131874571,3.433685333895887
btm_mae,0.9762466673371573,0.9834107646642903,0.8445806170255454,0.8157226720445991,0.9762466673371573,0.9834107646642903,0.8445806170255454,0.8157226720445991,0.9762466673371573,0.9834107646642903,0.8445806170255454,0.8157226720445991,0.9762466673371573,0.9834107646642903,0.8445806170255454,0.8157226720445991
btm_simulate_mae,1.500011546370475,1.557514850302872,1.336221193615627,1.353759978759872,1.500011546370475,1.557514850302872,1.336221193615627,1.353759978759872,1.500011546370475,1.557514850302872,1.336221193615627,1.353759978759872,1.500011546370475,1.557514850302872,1.336221193615627,1.353759978759872
mid_obs,18.67490853658537,23.28382173382174,29.39302021876436,25.84611572152274,17.17041292751552,24.5975357666527,28.54365139635174,25.6144679881522,17.62877063759495,22.61615447411833,29.19352807242333,25.53843158739122,18.21859010270775,24.40643939393939,28.5320744934275,27.94970238095238
mid_forecast,18.74882599368744,23.22425994360694,29.43865383585187,25.85392041152783,17.25465684926429,24.73608811355772,28.65861955060084,25.44908654719666,17.75318747733062,22.75642698288962,29.17508842263903,25.4788236400849,18.46554141129209,24.29745615922012,28.57313813249475,27.87288254215604
mid_simulate,18.80487804878049,23.30830280830281,29.67974012408372,25.9609416800428,16.89285714285714,24.82261904761905,28.79094076655052,25.3389724310777,18.02435064935064,22.97592883307169,29.16428571428571,25.56366459627329,18.39962651727357,24.35714285714286,29.44004589787722,28.92857142857143
mid_std,3.311882859801464,4.38138744199204,2.950784134468072,3.70682164747493,3.311882859801464,4.38138744199204,2.950784134468072,3.70682164747493,3.311882859801464,4.38138744199204,2.950784134468072,3.70682164747493,3.311882859801464,4.38138744199204,2.950784134468072,3.70682164747493
mid_mae,0.9559252743764824,1.05062170008157,1.02015383830471,0.8478391850719337,0.9559252743764824,1.05062170008157,1.02015383830471,0.8478391850719337,0.9559252743764824,1.05062170008157,1.02015383830471,0.8478391850719337,0.9559252743764824,1.05062170008157,1.02015383830471,0.8478391850719337
mid_simulate_mae,1.331166964287771,1.46053427291441,1.413033305566423,1.247942488265168,1.331166964287771,1.46053427291441,1.413033305566423,1.247942488265168,1.331166964287771,1.46053427291441,1.413033305566423,1.247942488265168,1.331166964287771,1.46053427291441,1.413033305566423,1.247942488265168
top_obs,16.98177920318164,21.05860360464335,26.20141478282637,23.62288389513109,15.47406462585034,22.56646352489692,25.44951270663707,23.06408834586466,16.18597299738829,20.8146781789639,26.09267857142857,23.64681677018634,16.46843027615086,22.00704531280414,27.95268932874354,29.06412172011662
top_forecast,17.00336794404618,21.13340072767748,26.2486616303843,23.56045918489536,15.50229772252544,22.70212956483343,25.8932277425241,23.03888066687194,16.08256193310893,20.75436153072203,26.36105819259371,23.40611519724686,16.6870221121221,22.02927797314312,28.07608707349189,29.19638562202454
top_simulate,18.14634146341464,22.4981684981685,27.84667964746874,24.98876404494382,16.18112244897959,24.1125,27.99216027874565,24.33458646616542,17.22077922077922,21.93406593406593,28.19285714285714,24.63276397515528,17.74649859943978,23.38230519480519,28.78313253012048,29.24107142857143
top_std,3.655322158160669,4.231808222470577,3.254102095079847,3.719661440195594,3.655322158160669,4.231808222470577,3.254102095079847,3.719661440195594,3.655322158160669,4.231808222470577,3.254102095079847,3.719661440195594,3.655322158160669,4.231808222470577,3.254102095079847,3.719661440195594
top_mae,1.241710635643275,1.283131070055095,1.365712337435826,1.262643350038348,1.241710635643275,1.283131070055095,1.365712337435826,1.262643350038348,1.241710635643275,1.283131070055095,1.365712337435826,1.262643350038348,1.241710635643275,1.283131070055095,1.365712337435826,1.262643350038348
top_simulate_mae,2.610634704563568,2.985437068353018,3.067109884530311,3.087543117516548,2.610634704563568,2.985437068353018,3.067109884530311,3.087543117516548,2.610634704563568,2.985437068353018,3.067109884530311,3.087543117516548,2.610634704563568,2.985437068353018,3.067109884530311,3.087543117516548
